Random State,Alpha(Smoothing),TP,FP,TN,FN,Accuracy,Precision,Recall,F1-Score
80.0,0.0,6873.0,577.0,1975.0,1320.0,0.693345742205677,0.9225503355704698,0.838886854632003,0.8787317010803556
80.0,1.0,6873.0,587.0,1965.0,1320.0,0.6942764076314565,0.921313672922252,0.838886854632003,0.8781703187887305
80.0,10.0,6918.0,630.0,1922.0,1275.0,0.7024662633783155,0.9165341812400636,0.8443793482240938,0.8789784638841243
80.0,50.0,7091.0,779.0,1773.0,1102.0,0.7324336900884132,0.9010165184243965,0.865494934700354,0.8828985868144182
80.0,100.0,7294.0,943.0,1609.0,899.0,0.7665891112145183,0.8855165715673182,0.8902721835713414,0.8878880097382836
225.0,0.0,6786.0,588.0,2022.0,1349.0,0.6862726849697534,0.9202603742880392,0.8341733251382913,0.8751047778709137
225.0,1.0,6786.0,592.0,2018.0,1349.0,0.6866449511400652,0.919761452968284,0.8341733251382913,0.8748791336298589
225.0,10.0,6830.0,616.0,1994.0,1305.0,0.6929734760353653,0.9172710179962396,0.8395820528580209,0.8767088120146332
225.0,50.0,7024.0,760.0,1850.0,1111.0,0.7244299674267101,0.9023638232271326,0.8634296250768285,0.882467491676613
225.0,100.0,7227.0,951.0,1659.0,908.0,0.7610981852024197,0.8837123991195891,0.8883835279655808,0.8860418071476737
2067.0,0.0,6835.0,579.0,1953.0,1378.0,0.6899953466728711,0.9219045049905584,0.8322172166078169,0.8747680296921995
2067.0,1.0,6837.0,577.0,1955.0,1376.0,0.6899953466728711,0.9221742649042352,0.8324607329842932,0.8750239969283933
2067.0,10.0,6869.0,600.0,1932.0,1344.0,0.6951140065146579,0.9196679609050744,0.8363569950079143,0.8760362198699146
2067.0,50.0,7059.0,745.0,1787.0,1154.0,0.726291298278269,0.9045361353152228,0.8594910507731645,0.8814384716238995
2067.0,100.0,7258.0,916.0,1616.0,955.0,0.760725919032108,0.8879373623684854,0.8837209302325582,0.8858241288826507
4133.0,0.0,6812.0,616.0,1988.0,1329.0,0.6912982782689623,0.9170705438879914,0.836752241739344,0.8750722589761707
4133.0,1.0,6812.0,619.0,1985.0,1329.0,0.6915774778966961,0.9167003095141972,0.836752241739344,0.8749036732596969
4133.0,10.0,6839.0,655.0,1949.0,1302.0,0.6974406700791066,0.9125967440619162,0.8400687876182287,0.8748321074512311
4133.0,50.0,7037.0,812.0,1792.0,1104.0,0.7304792926942764,0.8965473308701746,0.8643901240633829,0.880175109443402
4133.0,100.0,7234.0,970.0,1634.0,907.0,0.7635179153094462,0.8817649926864944,0.8885886254759857,0.8851636586111962
6741.0,0.0,6801.0,570.0,1993.0,1381.0,0.6859934853420195,0.9226699226699226,0.8312148618919579,0.8745579630939369
6741.0,1.0,6808.0,573.0,1990.0,1374.0,0.686924150767799,0.9223682427855304,0.8320703984355903,0.8748955856839941
6741.0,10.0,6836.0,597.0,1966.0,1346.0,0.691763610981852,0.9196824969729585,0.8354925446101198,0.8755683637528018
6741.0,50.0,7028.0,746.0,1817.0,1154.0,0.7234993020009307,0.9040391047080012,0.8589586898068932,0.880922536976686
6741.0,100.0,7235.0,914.0,1649.0,947.0,0.7583992554676594,0.8878389986501412,0.8842581275971645,0.8860449451962524
9931.0,0.0,6793.0,600.0,1990.0,1362.0,0.6880409492787343,0.9188421479778168,0.8329858982219497,0.8738101363519423
9931.0,1.0,6792.0,601.0,1989.0,1363.0,0.6880409492787343,0.9187068848911132,0.8328632740649908,0.8736815024440443
