K Value,Random State,TN,FP,FN,TP,Accuracy,Precision,Recall,F1-Score
13,2067,7949,250,1988,559,0.7917364600781687,0.799939619603502,0.9695084766434932,0.8765990295544772
13,4133,8004,216,1924,602,0.800856132514424,0.806204673650282,0.9737226277372263,0.8820806700462861
13,6741,7983,173,2004,586,0.7974129908803276,0.7993391408831481,0.9787886218734674,0.8800088188281984
13,9931,7942,208,2027,569,0.7920156337241765,0.7966696759955864,0.974478527607362,0.8766488216789008
13,58146,7929,229,2040,548,0.7888516657360879,0.7953656334637376,0.9719293944594263,0.8748276052297677
13,79327,7981,220,1976,569,0.7956448911222781,0.8015466505975696,0.9731740031703451,0.8790615706575615
13,3114652,7895,193,2043,615,0.7919225758421738,0.7944254377138257,0.9761374876360039,0.8759569510706757
13,8538320,7942,180,2024,600,0.7949004280662572,0.7969094922737306,0.9778379709431174,0.8781512605042017
14,80,8003,145,2064,534,0.7944351386562442,0.7949736763683322,0.9822042218949435,0.8787263244578645
14,225,8005,125,2062,554,0.7964824120603015,0.7951723452865799,0.9846248462484625,0.8798153541792603
14,2067,8036,163,2034,513,0.7955518332402755,0.7980139026812314,0.9801195267715576,0.8797416388417538
14,4133,8082,138,1998,528,0.8012283640424344,0.8017857142857143,0.9832116788321168,0.8832786885245901
14,6741,8044,112,2054,536,0.7984366275823562,0.7965933848286789,0.9862677783227072,0.8813410759285635
14,9931,8025,125,2076,520,0.795179601712265,0.7944757944757945,0.9846625766871165,0.8794038682811901
14,58146,7988,170,2091,497,0.7895961287921087,0.7925389423553924,0.9791615592056877,0.8760212754290727
14,79327,8058,143,2031,514,0.7976921645263354,0.7986916443651502,0.9825631020607243,0.8811372334609074
14,3114652,7969,119,2118,540,0.7918295179601712,0.7900267671260037,0.9852868447082097,0.8769188445667125
14,8538320,8013,109,2098,526,0.7946212544202494,0.7925032143210365,0.9865796601822211,0.8789557395930456
15,80,7958,190,2035,563,0.7929462125442025,0.7963574502151506,0.9766813942071674,0.8773496499641694
15,225,7961,169,2031,585,0.7952726595942676,0.7967373899119295,0.9792127921279212,0.8786005959607107
15,2067,7987,212,2010,537,0.7932253861902103,0.7989396819045713,0.9741431881936822,0.8778852495053857
15,4133,8043,177,1966,560,0.8005769588684162,0.8035767808971925,0.9784671532846715,0.8824400680234792
15,6741,8009,147,2031,559,0.7973199329983249,0.7977091633466136,0.9819764590485532,0.8803033633765663
15,9931,7986,164,2045,551,0.7944351386562442,0.7961319908284319,0.979877300613497,0.8784995324789616
15,58146,7947,211,2064,524,0.7882933184440722,0.7938267905304165,0.9741358176023536,0.8747867246408719
15,79327,8020,181,2003,542,0.7967615857063093,0.8001596328444578,0.9779295207901475,0.8801580333625989
15,3114652,7936,152,2086,572,0.7917364600781687,0.791857912592297,0.9812067260138477,0.8764218663721701
15,8538320,7971,151,2056,568,0.7946212544202494,0.7949536252119278,0.9814085200689485,0.8783955038845116
16,80,8023,125,2083,515,0.7945281965382468,0.7938848208984761,0.9846588119783997,0.8790402103648516
16,225,8031,99,2090,526,0.7962962962962963,0.7934986661397095,0.9878228782287823,0.8800613665004657
16,2067,8054,145,2039,508,0.7967615857063093,0.7979787971861686,0.982314916453226,0.8806035425322546
16,4133,8109,111,2020,506,0.8016936534524475,0.8005726132885773,0.9864963503649635,0.8838628808109433
16,6741,8058,98,2063,527,0.7989019169923692,0.7961663867206797,0.9879843060323688,0.8817639656398752
16,9931,8036,114,2081,515,0.7957379490042806,0.7943066126322033,0.9860122699386503,0.8798379591613291
16,58146,8007,151,2099,489,0.7906197654941374,0.792301603008114,0.9814905614121108,0.8768068331143232
16,79327,8073,128,2048,497,0.7975060487623302,0.7976484537101077,0.9843921472991098,0.8812356729614671
16,3114652,7989,99,2135,523,0.792108691606179,0.7891149743184512,0.987759643916914,0.8773336261805402
16,8538320,8023,99,2102,522,0.795179601712265,0.792395061728395,0.9878108840187146,0.8793774319066147
17,80,7989,159,2058,540,0.7936906756002233,0.7951627351448194,0.9804860088365243,0.8781533388293487
17,225,8002,128,2065,551,0.7959240647682859,0.7948743419092084,0.9842558425584256,0.8794856294993681
17,2067,8025,174,2005,542,0.7972268751163224,0.8000997008973081,0.9787778997438712,0.8804651928246201
17,4133,8078,142,1980,546,0.8025311743904708,0.8031417776894014,0.9827250608272506,0.8839041470620419
17,6741,8033,123,2036,554,0.7990880327563744,0.7977952130300924,0.9849190779794017,0.8815363511659808
17,9931,8012,138,2051,545,0.7962962962962963,0.7961840405445693,0.9830674846625767,0.879811123922473
17,58146,7983,175,2073,515,0.7908058812581426,0.793854415274463,0.9785486638882079,0.8765784561326453
17,79327,8047,154,2022,523,0.7975060487623302,0.7991856192273314,0.9812218022192416,0.8808976464148879
17,3114652,7967,121,2106,552,0.7927600967801973,0.7909262384592475,0.9850395647873392,0.8773745939100268
17,8538320,7998,124,2066,558,0.7962032384142937,0.7947138314785374,0.9847328244274809,0.87957769712966
18,80,8043,105,2096,502,0.795179601712265,0.7932734983726206,0.9871134020618557,0.879641275222836
18,225,8039,91,2097,519,0.7963893541782989,0.7931136543014996,0.9888068880688807,0.8802146063724954
18,2067,8068,131,2052,495,0.7968546435883119,0.7972332015810276,0.9840224417611904,0.880834106665211
18,4133,8112,108,2014,512,0.8025311743904708,0.8011060635986569,0.9868613138686131,0.8843344598277553
18,6741,8067,89,2076,514,0.7985296854643589,0.795326826382727,0.9890877881314369,0.8816875239084103
18,9931,8054,96,2080,516,0.7975060487623302,0.7947503453720149,0.9882208588957055,0.8809888427040035
18,58146,8042,116,2122,466,0.7917364600781687,0.791223927587564,0.9857808286344693,0.8778517629079796
18,79327,8092,109,2060,485,0.7981574539363484,0.7970843183609141,0.9867089379343983,0.881817686481774
18,3114652,8002,86,2154,504,0.7915503443141634,0.7879086254430878,0.9893669634025717,0.877219907914931
18,8538320,8042,80,2111,513,0.7961101805322911,0.7920811582783414,0.9901502093080522,0.880109439124487
19,80,8015,133,2069,529,0.7950865438302624,0.7948234827449425,0.9836769759450171,0.8792233435717421
19,225,8022,108,2072,544,0.7971338172343198,0.7947295423023578,0.9867158671586715,0.880377524143986
19,2067,8033,166,2028,519,0.7958310068862833,0.7984295795646557,0.9797536284912794,0.8798466593647316
19,4133,8092,128,1992,534,0.8027172901544761,0.8024593415311384,0.9844282238442822,0.8841783216783216
19,6741,8044,112,2053,537,0.7985296854643589,0.7966722788947213,0.9862677783227072,0.8813893606530433
19,9931,8033,117,2063,533,0.7971338172343198,0.7956616481774961,0.9856441717791411,0.8805217581935767
19,58146,8012,146,2102,486,0.7908058812581426,0.7921692703183706,0.9821034567295905,0.8769702276707532
19,79327,8059,142,2036,509,0.7973199329983249,0.7983159980188212,0.98268503840995,0.8809575863576737
19,3114652,7989,99,2138,520,0.7918295179601712,0.7888812086501432,0.987759643916914,0.8771891298380454
19,8538320,8015,107,2083,541,0.7962032384142937,0.7937215290156466,0.9868259049495198,0.8798024149286497
20,80,8050,98,2103,495,0.795179601712265,0.7928691027282576,0.9879725085910653,0.879733347904486
20,225,8053,77,2098,518,0.7975991066443328,0.7933208550881686,0.9905289052890529,0.8810240140036103
20,2067,8095,104,2067,480,0.7979713381723432,0.7965951584333792,0.9873155262836931,0.8817602527095474
20,4133,8133,87,2030,496,0.802996463800484,0.8002558299714652,0.9894160583941606,0.8848392536582713
20,6741,8080,76,2085,505,0.7989019169923692,0.794884407279882,0.9906817067189799,0.8820479231482998
20,9931,8057,93,2088,508,0.7970407593523171,0.7941843272548054,0.9885889570552148,0.8807871003006287
20,58146,8055,103,2125,463,0.7926670388981947,0.7912573673870335,0.9873743564599167,0.8785036536154434
20,79327,8108,93,2068,477,0.7989019169923692,0.7967767295597484,0.9886599195220095,0.882407357022365
20,3114652,8016,72,2171,487,0.7912711706681556,0.7868852459016393,0.9910979228486647,0.877264021887825
20,8538320,8050,72,2119,505,0.7961101805322911,0.7916215950437604,0.991135188377247,0.880214313050134
21,80,8035,113,2086,512,0.7953657174762703,0.793893884003557,0.9861315660284733,0.8796321637747002
21,225,8035,95,2086,530,0.7970407593523171,0.793893884003557,0.9883148831488315,0.8804996986466495
21,2067,8078,121,2045,502,0.7984366275823562,0.7979847871184431,0.9852421026954506,0.881781464905578
21,4133,8113,107,2006,520,0.8033686953284943,0.8017590671014923,0.9869829683698297,0.8847810676699929
21,6741,8063,93,2067,523,0.7989949748743719,0.7959526159921027,0.9885973516429623,0.8818768456742863
21,9931,8042,108,2074,522,0.7969477014703146,0.794978252273626,0.9867484662576688,0.8805430855140698
21,58146,8039,119,2106,482,0.7929462125442025,0.7924100542138984,0.9854130914439814,0.8784352291973994
21,79327,8088,113,2049,496,0.7988088591103667,0.7978691920686594,0.9862211925374954,0.882102737485004
21,3114652,8007,81,2144,514,0.7929462125442025,0.7887892818441533,0.9899851632047477,0.8780086627556335
21,8538320,8032,90,2095,529,0.7966685278243067,0.7931272834995556,0.9889189854715588,0.8802674119129815
22,80,8066,82,2123,475,0.7948073701842546,0.7916380410246344,0.9899361806578302,0.8797513224627801
22,225,8052,78,2117,499,0.7957379490042806,0.7918182712164421,0.9904059040590406,0.8800480900595661
22,2067,8123,76,2097,450,0.7977852224083379,0.7948140900195695,0.9907305768996219,0.8820239969596612
22,4133,8141,79,2045,481,0.8023450586264657,0.7992342430787355,0.9903892944038929,0.8846028468977507
22,6741,8099,57,2093,497,0.7999255536943979,0.7946428571428571,0.9930112800392349,0.882821015914541
22,9931,8073,77,2104,492,0.7970407593523171,0.7932593102092955,0.9905521472392638,0.8809952529055493
22,58146,8077,81,2138,450,0.7935045598362181,0.790699951052374,0.9900710958568276,0.879224949654384
22,79327,8117,84,2079,466,0.798715801228364,0.7960965084346803,0.9897573466650409,0.8824264825786813
22,3114652,8025,63,2171,487,0.792108691606179,0.7870733621027854,0.9922106824925816,0.8778166703128418
22,8538320,8053,69,2131,493,0.7952726595942676,0.7907501963864886,0.991504555528195,0.879820823773626
23,80,8045,103,2098,500,0.795179601712265,0.7931578428472839,0.9873588610702013,0.8796675960855066
23,225,8035,95,2093,523,0.7963893541782989,0.7933451816745656,0.9883148831488315,0.8801621207142075
23,2067,8110,89,2077,470,0.7984366275823562,0.7961126926474918,0.9891450176850836,0.8821929729141738
23,4133,8128,92,2020,506,0.803461753210497,0.8009459992116673,0.9888077858880778,0.8850174216027873
23,6741,8079,77,2076,514,0.7996463800483901,0.7955686853766617,0.9905590975968612,0.8824204030364261
23,9931,8057,93,2088,508,0.7970407593523171,0.7941843272548054,0.9885889570552148,0.8807871003006287
23,58146,8069,89,2121,467,0.7943420807742416,0.7918547595682042,0.98909046334886,0.879550904730761
23,79327,8105,96,2064,481,0.7989949748743719,0.7970301897925066,0.9882941104743324,0.8824169842133914
23,3114652,8014,74,2148,510,0.7932253861902103,0.7886242865577642,0.9908506429277942,0.8782465753424656
23,8538320,8045,77,2117,507,0.7958310068862833,0.7916748671521354,0.9905195764590002,0.8800043754101947
24,80,8073,75,2124,474,0.7953657174762703,0.7917034421888791,0.9907952871870398,0.8801308258381031
24,225,8055,75,2129,487,0.7949004280662572,0.7909465828750982,0.9907749077490775,0.8796549088129301
24,2067,8131,68,2105,442,0.7977852224083379,0.7943532629933567,0.9917063056470301,0.8821263900189856
24,4133,8145,75,2050,476,0.802252000744463,0.7989210397253556,0.9908759124087592,0.8846049416236765
24,6741,8105,51,2106,484,0.7992741485203797,0.7937518362550191,0.9937469347719471,0.882561115043284
24,9931,8073,77,2117,479,0.7958310068862833,0.7922473012757606,0.9905521472392638,0.8803707742639042
24,58146,8082,76,2151,437,0.7927600967801973,0.7897977132805629,0.9906839911743074,0.878908161600783
24,79327,8125,76,2086,459,0.7988088591103667,0.7957105082753892,0.9907328374588464,0.8825765804909842
24,3114652,8027,61,2176,482,0.7918295179601712,0.7867293933156915,0.9924579624134521,0.877699415012848
24,8538320,8063,59,2139,485,0.7954587753582728,0.7903352283865909,0.9927357793646885,0.8800480244488103
25,80,8062,86,2108,490,0.7958310068862833,0.7927236971484759,0.989445262641139,0.8802270990282782
25,225,8045,85,2104,512,0.7962962962962963,0.7926889348704306,0.9895448954489545,0.8802450899939822
25,2067,8122,77,2095,452,0.7978782802903406,0.7949495938142311,0.9906086108061959,0.8820590790616855
25,4133,8131,89,2028,498,0.802996463800484,0.8003740525642288,0.9891727493917275,0.8848141901082758
25,6741,8090,66,2085,505,0.7998324958123953,0.7950859950859951,0.9919077979401667,0.882657792809994
25,9931,8068,82,2106,490,0.7963893541782989,0.7930017692156477,0.9899386503067484,0.8805937568216545
25,58146,8074,84,2135,453,0.7935045598362181,0.7908708002742678,0.9897033586663397,0.8791854957260303
25,79327,8119,82,2069,476,0.7998324958123953,0.79691794267766,0.9900012193634923,0.8830278971124043
25,3114652,8023,65,2163,495,0.7926670388981947,0.7876497152955036,0.9919634025717112,0.8780781438108789
25,8538320,8048,74,2121,503,0.7957379490042806,0.7914249188710788,0.9908889436099483,0.879995626264283
26,80,8085,63,2134,464,0.7955518332402755,0.7911733046286329,0.9922680412371134,0.8803832961289269
26,225,8069,61,2122,494,0.7968546435883119,0.7917770581885978,0.9924969249692497,0.8808471153321323
26,2067,8141,58,2116,431,0.7976921645263354,0.7937018621429268,0.9929259665812904,0.8822063285652363
26,4133,8156,64,2064,462,0.8019728270984552,0.7980430528375734,0.9922141119221412,0.8845986984815618
26,6741,8106,50,2111,479,0.7989019169923692,0.7933835763922874,0.9938695438940657,0.88238175583737
26,9931,8080,70,2124,472,0.7958310068862833,0.7918463347706781,0.9914110429447853,0.8804620246267844
26,58146,8090,68,2158,430,0.7928531546621999,0.7894223263075723,0.991664623682275,0.879061175703575
26,79327,8137,64,2094,451,0.7991810906383771,0.795327924934024,0.992196073649555,0.8829210069444444
26,3114652,8036,52,2184,474,0.7919225758421738,0.7863013698630137,0.993570722057369,0.8778675988638847
26,8538320,8064,58,2147,477,0.7948073701842546,0.7897365586132602,0.9928589017483378,0.8797250859106529
27,80,8076,72,2121,477,0.7959240647682859,0.7919976463665784,0.9911634756995582,0.8804578904333606
27,225,8058,72,2114,502,0.7965754699423041,0.7921745969327566,0.9911439114391144,0.880559501693804
27,2067,8131,68,2106,441,0.7976921645263354,0.7942756666992283,0.9917063056470301,0.8820785419830767
27,4133,8141,79,2047,479,0.8021589428624605,0.7990773458971339,0.9903892944038929,0.8845067362016514
27,6741,8098,58,2095,495,0.7996463800483901,0.7944667909349553,0.9928886709171162,0.8826639053899394
27,9931,8078,72,2107,489,0.7972268751163224,0.793127147766323,0.9911656441717791,0.8811562585219526
27,58146,8081,77,2150,438,0.7927600967801973,0.789854364187274,0.9905614121108115,0.8788949915710479
27,79327,8126,75,2084,461,0.7990880327563744,0.7958863858961802,0.9908547738080722,0.8827331486611266
27,3114652,8029,59,2170,488,0.792573981016192,0.7872340425531915,0.9927052423343224,0.8781101328812818
27,8538320,8056,66,2136,488,0.7950865438302624,0.7904238618524333,0.9918739226791431,0.8797641148847877
28,80,8094,54,2151,447,0.7948073701842546,0.7900439238653002,0.9933726067746687,0.8801174359810797
28,225,8078,52,2135,481,0.7964824120603015,0.7909527073337903,0.9936039360393604,0.8807719566046992
